Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,30320,31210,29780,31800,34480,28910,35760,33460,38410,33950,32270,32440,33240,34710,35490,35770,35880,36720,37890,38330,30050,39950,47060
Afghanistan,AFG,,,,,,,,,1340,1570,1770,1750,1960,2070,2120,2140,2050,2120,2140,2200,2090,1680,
Angola,AGO,2790,2900,3380,3470,3780,4310,4730,5350,5590,5840,5950,6120,6790,7090,7630,6900,6660,6770,6500,6260,5800,5990,6450
Albanie,ALB,3980,4440,4780,5130,5560,5980,6760,7490,8270,8670,9530,10210,10450,10750,11360,11800,12270,12800,13480,14220,13850,15260,18260
Andorre,AND,,,,,,,,,,,,,,,,,,,,,,,
Le monde arabe,ARB,10010.4548393946,10221.5360567161,10070.6444246208,10464.9345167669,11508.0407140478,12146.7890964815,13021.4744488835,13700.2922961363,14335.251061211,14046.7928954014,14399.0283317672,14911.9978740973,15842.6121115063,15811.0550229349,15605.9854213078,14180.7778066497,13777.4636481232,14374.8071929781,14712.4296624559,14887.7463835321,14166.0500040595,15146.1005137704,16849.4728284564
Émirats arabes unis,ARE,102140,100440,95480,100060,108060,110230,109640,97980,84880,70650,67740,72700,74910,75970,78980,70030,69240,71690,73520,75200,71070,77140,88050
Argentine,ARG,11240,10840,9480,10530,10810,11980,14410,16080,16910,15750,17450,18770,19180,19700,19280,19730,19860,22990,22460,22100,20240,23350,26030
Arménie,ARM,2650,3000,3500,4090,4710,5560,6570,7780,8580,7340,7690,8160,9640,10430,10570,10540,11220,12950,13770,15120,13890,15220,18140
Samoa américaines,ASM,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,ATG,18270,17940,17840,19180,20530,22450,25770,28540,28530,24970,23340,22940,21680,21170,20830,19920,20150,20600,22470,23490,19850,21730,25550
Australie,AUS,25780,26870,28250,29270,30860,31810,33490,35020,36000,38900,37840,40340,41560,44790,45690,45350,46170,47090,48670,50260,52010,55570,60830
Autriche,AUT,29130,29300,31000,32070,33730,34940,37750,39400,41660,40900,42360,44600,46500,48050,48860,49370,52680,53670,56380,59530,57830,60760,67830
Azerbaïdjan,AZE,3320,3680,4030,4480,4850,5970,8140,10020,11640,12940,13800,13790,15050,16330,16940,14460,13510,13590,13850,14470,14400,15600,16630
Burundi,BDI,540,530,550,530,550,560,590,610,620,610,630,640,650,700,730,800,770,750,760,760,760,790,840
Belgique,BEL,28510,29330,30810,31530,32510,33590,35760,37310,38800,38450,40450,41010,43270,44750,45870,46850,49060,50900,53000,56340,55240,60140,66490
Bénin,BEN,1720,1800,1850,1890,1970,2010,2080,2200,2290,2290,2290,2350,2410,2580,2730,2770,2880,2900,3080,3260,3330,3650,4020
Burkina Faso,BFA,900,950,970,1030,1070,1160,1250,1290,1350,1350,1410,1470,1530,1590,1570,1580,1750,1900,2030,2100,2130,2290,2440
Bangladesh,BGD,1620,1700,1780,1860,1990,2150,2360,2580,2790,2930,3100,3330,3740,3990,4220,4450,4770,5000,5460,5930,6150,6870,7690
Bulgarie,BGR,6270,6970,7950,8550,9310,10320,11120,11880,13650,13730,14650,15250,16110,16280,17470,17820,19450,20990,22260,24450,24240,26860,32740
Bahreïn,BHR,38390,38750,38910,40990,42080,43620,44700,46730,46350,41820,43510,43420,52020,51700,49530,43330,42760,46190,47360,48850,47080,51370,58540
Bahamas,BHS,25290,26000,26850,26770,27400,28740,29870,30670,30540,28800,28950,29360,29920,29060,30020,30400,30590,32550,33290,34080,26090,32140,38820
Bosnie-Herzégovine,BIH,4520,4650,4950,5150,5910,6210,7090,7920,8910,9030,9240,9840,10190,10930,11240,11910,12890,13470,14720,16090,15780,17230,19840
Bélarus,BLR,5780,6220,6690,7380,8490,9660,10970,12220,13720,13740,15050,16380,17700,18330,18440,17330,16950,17670,18730,19510,19490,21120,21710
Belize,BLZ,7170,7380,7680,8200,8420,8670,9060,9190,8950,9130,8870,9080,8520,8730,8600,8850,8640,8310,8320,8670,7780,9430,10670
Bermudes,BMU,,,,,,,,,,,72180,71790,70450,72180,71390,74460,78530,85190,86090,86310,82750,90490,98640
Bolivie,BOL,3270,3350,3420,3480,3640,3870,4120,4340,4640,4710,4850,5140,5460,6100,6560,6750,7210,8000,8460,8710,8020,8660,9460
Brésil,BRA,8740,8900,9190,9390,10100,10640,11320,12260,12960,12930,13810,14600,14620,15320,15370,14420,13910,14210,14550,14900,14590,15750,17270
Barbade,BRB,12620,12500,12710,13150,13750,14510,15560,16600,16760,16100,16160,15670,15150,15120,14960,15260,15660,15510,15680,15870,14560,14690,17480
Brunéi Darussalam,BRN,66210,68170,70520,72630,73620,74920,79310,80710,79340,77370,78210,80090,84510,81390,79960,64670,59540,63750,61460,65750,67010,66770,67760
Bhoutan,BTN,2860,3090,3350,3560,3790,4140,4540,5400,5630,5900,6510,7040,7530,7690,8350,9180,9980,10660,11180,11970,11120,12070,
Botswana,BWA,8360,8730,8210,8950,9150,9950,11270,12290,12470,11020,11660,12890,12300,12240,13900,12970,13970,13410,13900,14930,14320,16290,17800
République centrafricaine,CAF,640,680,690,660,700,710,750,790,800,870,910,950,1030,690,680,740,800,880,940,960,950,990,1030
Canada,CAN,28590,29380,30180,31550,33190,35580,37510,38990,39780,38200,39310,40880,41540,43620,45010,43990,45900,47700,49140,49240,46860,52720,57760
Europe centrale et les pays baltes,CEB,9865.87967905475,10642.0914276325,11448.1555766045,12050.3834962525,13003.3882510198,13897.4419526826,15345.2206471914,16979.487713668,19011.5170735721,19117.7342006408,20126.0311288115,21477.0180005736,22317.1468496267,23127.6959832073,24152.0826786544,25231.851233082,26810.0390380372,28825.9330990502,30914.2142519637,33805.9144958574,33869.065817373,36447.9103660054,41459.3646122674
Suisse,CHE,39020,39210,39640,41170,42560,44860,49560,51130,50260,53740,57270,57830,60440,62660,63350,65920,66960,67250,68130,70150,68590,75960,82940
Îles Anglo-Normandes,CHI,,,,,,,,,,,,,,,,,,,,,,,
Chili,CHL,9140,9550,9850,10270,10870,11680,14000,15220,15250,15010,16930,18560,20400,21430,21770,22130,22840,23590,24520,24640,23390,26680,28550
Chine,CHN,2880,3160,3500,3910,4420,5020,5830,6830,7630,8290,9220,10200,11140,11780,12500,12840,13420,14220,15430,16610,17070,19350,21250
Côte d'Ivoire,CIV,1880,1840,1810,1750,1860,2060,2110,2150,2280,2340,2460,2250,2490,2650,4180,4480,4590,4690,4920,5200,5220,5680,6340
Cameroun,CMR,1970,2030,2110,2260,2450,2500,2640,2730,2800,2840,2860,2930,2980,3140,3340,3390,3500,3620,3750,3830,3790,4000,4330
Congo, République démocratique du,COD,420,400,410,430,460,480,510,540,550,560,590,620,620,670,750,810,910,990,1030,1040,1070,1140,1290
Congo, République du,COG,2700,2750,2910,2970,2840,3270,3910,3580,3920,4450,4790,4680,5740,5680,5600,4680,4090,4920,4480,4700,3980,3920,4050
Colombie,COL,6610,6740,6900,7150,7610,8200,8890,9590,9940,10050,10450,11200,11630,12360,13010,13200,13820,14090,14790,15530,14940,16810,19470
Comores,COM,1820,1870,1890,1930,1980,2060,2140,2180,2260,2300,2370,2460,2650,2800,2900,2900,3070,3260,3390,3450,3420,3580,3850
Cabo Verde,CPV,3020,3150,3280,3450,3840,4130,4520,5370,5760,5660,5670,5970,5810,5830,5720,6030,6470,6910,7330,7920,6280,6910,8600
Costa Rica,CRI,7440,7730,7980,8350,8860,9410,10350,11380,12060,11710,12340,12970,13740,14320,15260,16210,18110,19110,20010,21260,20430,21270,23370
Petits états des Caraïbes,CSS,9047.89964482328,9370.28650254241,9839.04521410263,10581.576568043,11388.4716157358,12021.2936958778,13207.6163356025,14057.329890196,14512.8601852898,13946.1106897461,14303.6784138681,14266.4310313461,14834.6697401352,15192.5430070645,15366.439520202,15385.3297059968,15017.6773212394,15756.4539358331,16013.9218097369,16440.9146898432,15097.6189657025,16831.6135870503,20135.6314579703
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,24480,25050,25860,26030,25510,25860,25940,24680,24300,24060,24000,23580,24510,24840,25020,21170,23410,
Îles Caïmans,CYM,,,,,,,,,,,62790,64500,44080,38610,37170,38610,42330,46580,50790,55960,48660,52990,
Chypre,CYP,19460,21230,22340,23290,24490,26320,28350,30780,34260,33790,33030,34280,31700,30050,29350,31710,34460,37250,39190,41660,38830,42060,47470
République tchèque,CZE,15920,17130,17600,18880,19940,21070,22430,24590,26270,25850,25790,26660,27370,28860,30270,31570,33660,36630,38890,41540,40690,43770,46890
Allemagne,DEU,27050,28170,28870,29610,31520,32060,34740,36820,38160,37650,39730,43630,44400,46040,47950,48690,51830,54340,57060,59560,58070,61330,65990
Djibouti,DJI,,,,,,,,,,,,,,3750,3980,4270,4320,4440,4670,5010,5060,5500,6010
Dominique,DMA,5850,6300,6140,6670,6960,7300,8220,8900,9780,9850,10130,10300,10040,10060,10830,10930,11710,11550,12150,12700,10990,12050,13500
Danemark,DNK,28010,29010,30260,30550,32980,34430,37780,39210,41740,40730,43700,45340,45820,48210,49640,50550,53250,56570,59080,61650,62760,68700,77370
République dominicaine,DOM,6420,6620,6930,6710,6860,7860,8780,9540,10050,10090,10910,11300,11320,11760,12680,13960,15230,15740,17130,18080,16850,19530,21920
Algérie,DZA,8090,8580,8990,9710,10200,10910,11400,12220,12610,12640,13100,13410,13180,12850,12760,11760,11570,11630,11710,11820,11220,11950,12950
Asie de l’Est et Pacifique (hors revenu élevé),EAP,3244.01354709395,3511.16808484192,3817.71866556526,4193.14359113215,4647.75245758028,5187.99739823446,5888.66175409639,6730.45174758866,7391.49588631233,7893.69588104794,8675.64719179836,9487.66110846813,10304.5753663142,10832.4644072253,11411.5722513436,11677.5080861793,12195.4335220145,12895.2881550517,13931.9632873824,14928.1113986096,15109.7156790646,16822.7285977659,18577.4480978525
