Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,70.597,70.724,70.817,70.91,70.63,70.965,71.384,71.797,71.256,71.644,72.126,72.223,72.346,72.361,72.448,72.569,72.582,72.838,73.096,73.286,72.828,71.798,
Afghanistan,AFG,53.762,54.272,55.227,56.032,56.658,57.013,57.133,57.342,58.172,58.82,59.278,59.825,60.317,60.791,60.812,60.76,61.193,60.105,59.923,60.619,59.866,58.915,
Angola,AGO,43.562,43.714,44.94,47.568,48.532,49.508,50.227,51.473,52.527,53.537,54.415,55.314,56.22,56.925,57.606,58.213,58.741,59.331,59.582,59.977,59.584,59.029,
Albanie,ALB,72.646,72.921,73.22,73.499,73.786,74.033,74.243,75.1,75.163,75.316,75.493,75.693,75.73,75.786,76.114,76.404,76.639,76.873,77.037,77.168,74.632,74.087,
Andorre,AND,,,,,,,,,,,,,,,,,,,,,,,
Le monde arabe,ARB,65.4253868087526,65.7681999138218,66.0595981104082,65.8886734094373,65.8381810117335,66.0752445736269,66.451363970705,66.8229524231151,67.3017600486276,67.9017226858728,68.1434118575784,68.35467226009,68.1981920942905,68.1690502575848,68.4536040445749,68.8064676834851,68.8646134647447,69.3336597525731,69.6093962051032,69.9069657642315,68.9362228892435,68.8324333178596,
Émirats arabes unis,ARE,73.166,73.388,73.631,74.984,75.202,75.417,75.639,75.825,76.027,76.233,76.459,76.665,76.931,77.084,77.331,77.563,77.684,77.871,78.028,78.175,77.464,77.216,
Argentine,ARG,70.583,70.749,70.752,70.83,71.53,71.692,72.066,71.487,72.276,72.694,72.516,72.841,72.939,73.011,73.424,73.294,72.933,73.526,73.631,73.857,72.546,72.182,
Arménie,ARM,66.89,67.073,67.124,67.306,67.494,67.596,67.743,68.08,67.995,68.242,68.597,68.613,69.037,69.062,69.236,69.595,69.673,69.92,69.992,70.403,67.051,66.554,
Samoa américaines,ASM,,,,,,,,,,,,,,,,,,,,,,,
