Country Name;Country Code;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;
;AFE;14571611;14571611;14571611;14571611;14720190.922;14720236.092;14720228.252;14720274.665;14720236.89;14720269.284;14720957.055;14721207.05;14845137.142;14845099.326;14845052.467;14845106.128;14845113.968;14845102.053;14845117.143;14845129.404;14845090.094;14845090.094;
Afghanistan;AFG;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;652230;
;AFW;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045780;9045773;9045773;
Angola;AGO;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;1246700;
Albanie;ALB;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;27400;
Andorre;AND;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;470;
Le monde arabe;ARB;13611431;13611431;13611431;13611251;13611241;13611251;13611311;13611331;13611341;13608831;13608823;13608828;13100831;13100639;13100520;13100528;13100529;13100530;13100528;13100544;13100549;13100559;
Émirats arabes unis;ARE;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;71020;
Argentine;ARG;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;2736690;
Arménie;ARM;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;28470;
Samoa américaines;ASM;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;
Antigua-et-Barbuda;ATG;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;
Australie;AUS;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7682300;7692020;7692020;7692020;7692020;7692020;7692020;
Autriche;AUT;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;82520;
Azerbaïdjan;AZE;82605;82604;82618;82652;82672;82660;82637;82629;82627;82622;82656;82658;82658;82659;82663;82663;82670;82662;82654;82654;82646;82650;
Burundi;BDI;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;25680;
Belgique;BEL;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;30280;
Bénin;BEN;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;112760;
Burkina Faso;BFA;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;273600;
Bangladesh;BGD;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;130170;
Bulgarie;BGR;110630;110630;108800;108770;108760;108640;108630;108610;108610;108560;108560;108560;108560;108560;108560;108560;108560;108560;108560;108560;108560;108560;
Bahreïn;BHR;710;710;710;720;730;740;740;750;760;760;762;767;770;770;771;778;779;780;778;780;785;790;
Bahamas;BHS;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;10010;
Bosnie-Herzégovine;BIH;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;51200;
Bélarus;BLR;202848;202844;202829;202826;202815;202833;202904;202901;202902;202898;202902;202910;202899;202908;202973;202978;202988;202988;202980;202965;202980;202950;
Belize;BLZ;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;22810;
Bermudes;BMU;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;
Bolivie;BOL;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;1083300;
Brésil;BRA;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;8358140;
Barbade;BRB;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;
Brunéi Darussalam;BRN;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;5270;
Bhoutan;BTN;39800;39800;39800;39800;38117;38117;38117;38117;38117;38117;38117;38117;38117;38117;38117;38117;38144;38144;38140;38140;38140;38140;
Botswana;BWA;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;566730;
